项目ID,项目,日期,事件类型,事件,说明,资料标题,资料链接
GL008,Senjen Nickel Works (Senjens Nikkelverk) 塞尼亚(Senjen)镍矿冶炼厂,1894,运营变化,永久关闭,"存疑;具体关闭年份未直接查实,1894年为推断值——据H.H. Vivian & Co.同期(1889-1894年)转向经营加拿大萨德伯里Murray矿并以其矿石替代挪威矿源的时间点反推,请谨慎使用",全球普查底表 · NI-008 · 总表第9行,library/global-register.csv
GL009,Glencore Nikkelverk (Kristiansand Nickel Refinery) 嘉能可克里斯蒂安桑镍精炼厂(Nikkelverk),1910,投产,开始生产（底表投产年）,嘉能可克里斯蒂安桑镍精炼厂(Nikkelverk)的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-009 · 总表第10行,library/global-register.csv
GL009,Glencore Nikkelverk (Kristiansand Nickel Refinery) 嘉能可克里斯蒂安桑镍精炼厂(Nikkelverk),2025,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-009 · 总表第10行,library/global-register.csv
GL010,Niklová huta Sereď (Sereď Nickel-Cobalt Electrolytic Plant) 谢雷季(Sereď)镍钴电解厂,1959,投产,开始生产（底表投产年）,谢雷季(Sereď)镍钴电解厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-010 · 总表第11行,library/global-register.csv
GL010,Niklová huta Sereď (Sereď Nickel-Cobalt Electrolytic Plant) 谢雷季(Sereď)镍钴电解厂,1992,运营变化,永久关闭,'主要出于经济原因'(pôvodne z ekonomických dôvodov)，冷战结束、经济体制转轨后原料供应(阿尔巴尼亚矿)与经济性均难以为继；厂址后遗留大量含镍工业废渣堆场，成为斯洛伐克境内重要的历史污染场地，近年有多篇环境地质学论文研究该堆场对多瑙河低地环境的影响,全球普查底表 · NI-010 · 总表第11行,library/global-register.csv
GL011,"Umicore Olen Site (Cobalt & Specialty Materials, incl. nickel sulphate line) 优美科(Umicore)奥伦(Olen)基地（钴与特种材料，含镍盐产线）",2025,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-011 · 总表第12行,library/global-register.csv
GL012,Septèmes-les-Vallons Nickel Foundry (Marbeau & Garnier) 塞普泰姆莱瓦隆镍冶炼厂(马尔博与加尼耶创办),1875,投产,开始生产（底表投产年）,塞普泰姆莱瓦隆镍冶炼厂(马尔博与加尼耶创办)的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-012 · 总表第13行,library/global-register.csv
GL012,Septèmes-les-Vallons Nickel Foundry (Marbeau & Garnier) 塞普泰姆莱瓦隆镍冶炼厂(马尔博与加尼耶创办),1900,运营变化,永久关闭,"存疑;推测为SLN(1880年成立)整合法国本土及新喀里多尼亚当地冶炼产能后,该厂逐步被取代或关闭,具体年份及原因本轮检索未能独立核实一手资料",全球普查底表 · NI-012 · 总表第13行,library/global-register.csv
GL013,Sandouville Nickel Refinery (Le Havre) 桑杜维尔(Sandouville)镍精炼厂（勒阿弗尔附近）,2025,运营变化,保养维护(C&M),"持续亏损；Sibanye收购后原计划生产电池级硫酸镍，但因终止一项主要原料供应合同(耗资约3,700万美元)及市场环境，2024-2025年处于'消化库存、边际运营'状态，同时启动向正极前驱体材料(pCAM)转型的可行性研究(GalliCam项目)，尚未确定最终投资决定",全球普查底表 · NI-013 · 总表第14行,library/global-register.csv
GL014,"Szklary Nickel Mine & Smelter (German era: ""Nickelwerke Frankenstein""; Polish era: Zakłady Górniczo-Hutnicze Szklary) 什克拉雷(Szklary)镍矿与冶炼厂【德国时期称""法兰肯施泰因镍厂""，波兰时期称什克拉雷矿冶联合企业】",1895,投产,开始生产（底表投产年）,"什克拉雷(Szklary)镍矿与冶炼厂【德国时期称""法兰肯施泰因镍厂""，波兰时期称什克拉雷矿冶联合企业】的底表投产年份；试产、商业投产及前身设施的区分见历史正文。",全球普查底表 · NI-014 · 总表第15行,library/global-register.csv
GL014,"Szklary Nickel Mine & Smelter (German era: ""Nickelwerke Frankenstein""; Polish era: Zakłady Górniczo-Hutnicze Szklary) 什克拉雷(Szklary)镍矿与冶炼厂【德国时期称""法兰肯施泰因镍厂""，波兰时期称什克拉雷矿冶联合企业】",1983,运营变化,已拆除,"存疑(据研究简报为矿藏枯竭/经济性下降,本轮检索未能独立核实一手资料)",全球普查底表 · NI-014 · 总表第15行,library/global-register.csv
GL015,NewCo Ferronikeli Complex 纽科费罗尼克利(NewCo Ferronikeli)镍铁联合企业,1984,投产,开始生产（底表投产年）,纽科费罗尼克利(NewCo Ferronikeli)镍铁联合企业的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-015 · 总表第16行,library/global-register.csv
GL015,NewCo Ferronikeli Complex 纽科费罗尼克利(NewCo Ferronikeli)镍铁联合企业,2023,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-015 · 总表第16行,library/global-register.csv
GL016,Boliden Harjavalta Smelter (nickel line) 波利登哈尔亚瓦尔塔冶炼厂（镍线）,1959,投产,开始生产（底表投产年）,波利登哈尔亚瓦尔塔冶炼厂（镍线）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-016 · 总表第17行,library/global-register.csv
GL016,Boliden Harjavalta Smelter (nickel line) 波利登哈尔亚瓦尔塔冶炼厂（镍线）,2025,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-016 · 总表第17行,library/global-register.csv
GL017,Nornickel Harjavalta (Norilsk Nickel Harjavalta Oy) Nickel Refinery 诺里尔斯克镍业哈尔亚瓦尔塔精炼厂,1960,投产,开始生产（底表投产年）,诺里尔斯克镍业哈尔亚瓦尔塔精炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-017 · 总表第18行,library/global-register.csv
GL017,Nornickel Harjavalta (Norilsk Nickel Harjavalta Oy) Nickel Refinery 诺里尔斯克镍业哈尔亚瓦尔塔精炼厂,2025,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-017 · 总表第18行,library/global-register.csv
GL018,Kokkola (Umicore Finland) — planned 50kt nickel refinery (paused); existing cobalt/pCAM plant 科科拉(Umicore)镍精炼规划线(暂停)；现有钴精炼/pCAM厂,1990,投产,开始生产（底表投产年）,科科拉(Umicore)镍精炼规划线(暂停)；现有钴精炼/pCAM厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-018 · 总表第19行,library/global-register.csv
GL018,Kokkola (Umicore Finland) — planned 50kt nickel refinery (paused); existing cobalt/pCAM plant 科科拉(Umicore)镍精炼规划线(暂停)；现有钴精炼/pCAM厂,2022,运营变化,规划中或可研,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-018 · 总表第19行,library/global-register.csv
MHP046,Terrafame Ltd 特拉法姆索特卡莫项目,2008,投产,开始生产（底表投产年）,泰拉法梅（Terrafame）索特卡莫矿山及电池化学品厂（原塔尔维瓦拉Talvivaara）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-019 · 总表第20行,library/global-register.csv
MHP046,Terrafame Ltd 特拉法姆索特卡莫项目,2025,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-019 · 总表第20行,library/global-register.csv
GL020,Hafod Isha Nickel and Cobalt Works (H.H. Vivian & Co. Ltd.) 哈福德伊沙(Hafod Isha)镍钴厂(维维安父子公司),1883,投产,开始生产（底表投产年）,哈福德伊沙(Hafod Isha)镍钴厂(维维安父子公司)的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-020 · 总表第21行,library/global-register.csv
GL020,Hafod Isha Nickel and Cobalt Works (H.H. Vivian & Co. Ltd.) 哈福德伊沙(Hafod Isha)镍钴厂(维维安父子公司),1894,运营变化,永久关闭,"存疑;推测为萨德伯里矿石大量涌现后,原料就地在北美加工(经由奥福德""上下层分离法""及加拿大铜业公司/国际镍公司体系)更具经济性,英国斯旺西精炼环节逐步失去竞争力而停止,具体关闭年份及决策细节本轮检索未能独立核实一手资料,1894年为参照该公司萨德伯里矿权终止年份的推断值",全球普查底表 · NI-020 · 总表第21行,library/global-register.csv
GL021,Vale Clydach Refinery 淡水河谷克莱达赫(Clydach)镍精炼厂,1902,投产,开始生产（底表投产年）,淡水河谷克莱达赫(Clydach)镍精炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-021 · 总表第22行,library/global-register.csv
GL021,Vale Clydach Refinery 淡水河谷克莱达赫(Clydach)镍精炼厂,2025,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-021 · 总表第22行,library/global-register.csv
GL022,INCO / Vale Acton Refinery (London) 国际镍公司(INCO)/淡水河谷阿克顿(Acton)精炼厂（伦敦）,1924,投产,开始生产（底表投产年）,国际镍公司(INCO)/淡水河谷阿克顿(Acton)精炼厂（伦敦）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-022 · 总表第23行,library/global-register.csv
GL022,INCO / Vale Acton Refinery (London) 国际镍公司(INCO)/淡水河谷阿克顿(Acton)精炼厂（伦敦）,2019,运营变化,永久关闭,未查实具体关停时间及原因；从Vale现有公开表述（Clydach为'英国唯一在产镍精炼厂'）可推断Acton厂目前已不再从事镍精炼业务，但确切关停/转型年份、是否仍作PGM精炼用途，均未能在本次研究中证实，列为研究缺口,全球普查底表 · NI-022 · 总表第23行,library/global-register.csv
GL023,"Elbasan Metallurgical Combine – Nickel-Cobalt Plant (""Steel of the Party"" / Kombinati Metalurgjik ""Çeliku i Partisë"") 埃尔巴桑冶金联合企业镍钴厂(""党的钢铁""联合企业)",1976,投产,开始生产（底表投产年）,"埃尔巴桑冶金联合企业镍钴厂(""党的钢铁""联合企业)的底表投产年份；试产、商业投产及前身设施的区分见历史正文。",全球普查底表 · NI-023 · 总表第24行,library/global-register.csv
GL023,"Elbasan Metallurgical Combine – Nickel-Cobalt Plant (""Steel of the Party"" / Kombinati Metalurgjik ""Çeliku i Partisë"") 埃尔巴桑冶金联合企业镍钴厂(""党的钢铁""联合企业)",1991,运营变化,永久关闭,"存疑;推测为1990-1991年阿尔巴尼亚计划经济体制崩溃、苏东剧变后经济危机、原料及能源供应中断,以及中国技术支持终止后设备老化失修等因素综合导致停产,具体停产年份及直接原因本轮检索未能独立核实一手资料",全球普查底表 · NI-023 · 总表第24行,library/global-register.csv
GL024,Pobuzhsky Ferronickel Plant (PFK) 波布日镍铁厂（PFK）,1965,投产,开始生产（底表投产年）,波布日镍铁厂（PFK）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-024 · 总表第25行,library/global-register.csv
GL024,Pobuzhsky Ferronickel Plant (PFK) 波布日镍铁厂（PFK）,2022,运营变化,停产(可复产),俄乌战争：2022年10月22日俄军导弹袭击乌克兰能源基础设施导致停电，影响冶金工艺及取水系统，2022年11月1日起停产；此后受黑海港口物流封锁影响长期仅以约50%产能间歇性运行，并多次因电网持续遭袭而被迫再次停产；2026年5月所有权变更为瑞士Avenir Group后，新业主表态拟将部分厂区转型为'工业与能源园区'，是否会恢复镍铁冶炼生产尚不明朗，故未定性为永久关闭,全球普查底表 · NI-024 · 总表第25行,library/global-register.csv
GL025,Ufaleynickel (OAO/JSC Ufaleynickel) 乌法列镍厂,1933,投产,开始生产（底表投产年）,乌法列镍厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-025 · 总表第26行,library/global-register.csv
GL025,Ufaleynickel (OAO/JSC Ufaleynickel) 乌法列镍厂,2017,运营变化,永久关闭,镍价长期低迷、经营持续亏损，叠加逾160亿卢布债务，2017年10月被俄法院裁定破产清算,全球普查底表 · NI-025 · 总表第26行,library/global-register.csv
GL026,Rezhnickel (ZAO/OAO Rezhnickel) 雷日镍厂,1936,投产,开始生产（底表投产年）,雷日镍厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-026 · 总表第27行,library/global-register.csv
GL026,Rezhnickel (ZAO/OAO Rezhnickel) 雷日镍厂,2017,运营变化,永久关闭,与乌法列镍厂同期破产：镍价低迷、经营长期亏损，叠加约160亿卢布债务，Рост银行主导的破产程序中于2017年10月被裁定破产,全球普查底表 · NI-026 · 总表第27行,library/global-register.csv
GL027,"South Urals Nickel Combine (Kombinat Yuzhuralnickel), Orsk 南乌拉尔镍联合企业（奥尔斯克）",1938,投产,开始生产（底表投产年）,南乌拉尔镍联合企业（奥尔斯克）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-027 · 总表第28行,library/global-register.csv
GL027,"South Urals Nickel Combine (Kombinat Yuzhuralnickel), Orsk 南乌拉尔镍联合企业（奥尔斯克）",2012,运营变化,保养维护(C&M),镍价长期低迷、高能源成本、原料及产品运输成本高导致持续亏损，2012年停产封存；2015年被俄联邦税务局申请破产程序,全球普查底表 · NI-027 · 总表第28行,library/global-register.csv
GL028,"Severonickel (Kola MMC Refining Plant), Monchegorsk 北方镍厂（科拉矿冶公司精炼厂，蒙切戈尔斯克）",1939,投产,开始生产（底表投产年）,北方镍厂（科拉矿冶公司精炼厂，蒙切戈尔斯克）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-028 · 总表第29行,library/global-register.csv
GL028,"Severonickel (Kola MMC Refining Plant), Monchegorsk 北方镍厂（科拉矿冶公司精炼厂，蒙切戈尔斯克）",2026,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-028 · 总表第29行,library/global-register.csv
